tta_passes,selection,threshold,accuracy,sensitivity,specificity,f1,auc,tp,fn,tn,fp
1,max_accuracy,0.591,87.44846541456711,78.23529411764706,91.61676646706587,79.52167414050822,93.07169973777934,532,148,1377,126
2,max_accuracy,0.614,87.44846541456711,76.61764705882354,92.34863606121091,79.17933130699087,93.09508434112168,521,159,1388,115
4,max_accuracy,0.558,87.44846541456711,79.8529411764706,90.88489687292082,79.8529411764706,93.14283198309263,543,137,1366,137
0,max_accuracy,0.557,87.31103985341274,79.55882352941177,90.81836327345309,79.61736571008095,93.05491957261948,541,139,1365,138
0,max_accuracy_sensitivity_ge_85,0.373,85.52450755840586,86.47058823529412,85.09647371922821,78.82037533512064,93.05491957261948,588,92,1279,224
2,max_accuracy_sensitivity_ge_85,0.381,85.52450755840586,86.17647058823529,85.22954091816368,78.76344086021506,93.09508434112168,586,94,1281,222
1,max_accuracy_sensitivity_ge_85,0.373,85.43289051763628,86.17647058823529,85.09647371922821,78.65771812080537,93.07169973777934,586,94,1279,224
4,max_accuracy_sensitivity_ge_85,0.395,85.38708199725149,85.1470588235294,85.49567531603459,78.40216655382532,93.14283198309263,579,101,1285,218
