epoch,loss,lr,threshold,accuracy,sensitivity,specificity,f1,auc,tp,fn,tn,fp
1,0.3058413070549658,9.140576474687263e-06,0.632,87.54008245533669,77.05882352941177,92.28210246174318,79.39393939393939,93.1382822590114,524,156,1387,116
2,0.3031658156612598,6.890576474687264e-06,0.665,87.58589097572148,75.44117647058823,93.08050565535595,79.10562837316886,93.13094399436422,513,167,1399,104
3,0.30102271933894637,4.109423525312737e-06,0.608,87.4942739349519,77.05882352941177,92.21556886227545,79.33383800151401,93.16235176705413,524,156,1386,117
4,0.2981251943412177,1.8594235253127369e-06,0.626,87.44846541456711,76.61764705882354,92.34863606121091,79.17933130699087,93.12194238973035,521,159,1388,115
5,0.2966284809582824,1e-06,0.623,87.40265689418231,77.05882352941177,92.08250166333998,79.21390778533636,93.12424171265312,524,156,1384,119
